EXPOCODE	Name	ICEScode	CallSign_WMO	PlatformType	IMO_OS	Institution	EDMO	PI_Institution	PI_EDMO	PI	DOI_link
06AQ20170723	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	van Heuven, S.; Hoppema, M.	https://doi.org/10.7289/V5ZG6QJR
06AQ20170822	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	van Heuven, S.; Hoppema, M.	https://doi.org/10.7289/V5ZG6QJR
06AQ20170912	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	van Heuven, S.; Hoppema, M.	https://doi.org/10.3334/CDIAC/otg.Sonne113_1
06BE19961010	Sonne	06BE	DFCG	31	6909777	Federal Ministry of Education and Research	1572	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Körtzinger, A.	
06BE19970515	Sonne	06BE	DFCG	31	6909777	Federal Ministry of Education and Research	1572	Institute of Biogeochemistry and Marine Chemistry (IfBM), University of Hamburg	1503	Lendt, R.	
06BE19970612	Sonne	06BE	DFCG	31	6909777	Federal Ministry of Education and Research	1572	Institute of Biogeochemistry and Marine Chemistry (IfBM), University of Hamburg	1503	Lendt, R.	https://doi.org/10.7289/V5ST7N2X
06BE20140710	Sonne	06BE	DFCG	31	6909777	Federal Ministry of Education and Research	1572	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Steinhoff, T.; Körtzinger, A.	https://doi.org/10.7289/V5ST7N2X
06BE20140723	Sonne	06BE	DFCG	31	6909777	Federal Ministry of Education and Research	1572	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Steinhoff, T.; Körtzinger, A.	https://doi.org/10.3334/CDIAC/otg.VOS_Cap_Victor_2006
06CK20060523	Cap Victor	06CK	DCFH2	32	9134593	Pacific Marine Environmental Laboratory (PMEL), National Oceanic and Atmospheric Administration (NOAA)	1440	Pacific Marine Environmental Laboratory (PMEL), National Oceanic and Atmospheric Administration (NOAA)	1440	Feely, R.	https://doi.org/10.3334/CDIAC/otg.VOS_Cap_Victor_2006
06CK20060715	Cap Victor	06CK	DCFH2	32	9134593	Pacific Marine Environmental Laboratory (PMEL), National Oceanic and Atmospheric Administration (NOAA)	1440	Pacific Marine Environmental Laboratory (PMEL), National Oceanic and Atmospheric Administration (NOAA)	1440	Feely, R.	https://doi.org/10.3334/CDIAC/otg.VOS_Cap_Victor_2006
06CK20060821	Cap Victor	06CK	DCFH2	32	9134593	Pacific Marine Environmental Laboratory (PMEL), National Oceanic and Atmospheric Administration (NOAA)	1440	Pacific Marine Environmental Laboratory (PMEL), National Oceanic and Atmospheric Administration (NOAA)	1440	Feely, R.	https://doi.org/10.3334/CDIAC/otg.CARINA_06GA19960613
06GA19960613	Gauss	06G1	DBFB	31	7824883	Federal Maritime and Hydrographic Agency	1850	Leibniz Institute for Baltic Sea Research Warnemünde	100	Schneider, B.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19831130	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19840107	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19840629	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19850110	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19850313	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19850812	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19860116	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19860323	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19860801	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19861011	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19861214	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19870221	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19870501	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19870721	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19870920	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19871126	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19871231	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	https://doi.org/10.3334/CDIAC/otg.lillooet_ca
06LB19880204	Lillooet	06LB	DGRL	32	7720415	Institute of Ocean Sciences	4155	Institute of Ocean Sciences	4155	Wong, C.S.	
06M220110623	Maria S. Merian	06M2	DBBT	31	9274197	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Steinhoff, T.; Fiedler, B.; Körtzinger, A.	
06M220200117	Maria S. Merian	06M2	DBBT	31	9274197	German Research Foundation	1365	University of Hamburg, Institute of Oceanography (IfM)	1156	Ritschel, M.	
06M320120320	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Bjerknes Centre for Climate Research	1411	Bellerby, R.G.J.	
06M320120407	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Bjerknes Centre for Climate Research	1411	Bellerby, R.G.J.	
06MQ20210627	Newrest Art and Fenetres			37		GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Tanhua, T. : Reynaud, T.	https://doi.org/10.3334/CDIAC/otg.ndp056
06MT19910903	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Wallace, D.	
06MT19920510	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Leibniz Institute for Baltic Sea Research Warnemünde	100	Schneider, B.	https://doi.org/10.3334/CDIAC/otg.ndp066
06MT19921229	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Wallace, D.	https://doi.org/10.3334/CDIAC/otg.MET30_2
06MT19941012	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Körtzinger, A.	
06MT19941119	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Leibniz Institute for Baltic Sea Research Warnemünde	100	Schneider, B.	https://doi.org/10.3334/CDIAC/otg.MET32_5
06MT19950714	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Körtzinger, A.	https://doi.org/10.3334/CDIAC/otg.ndp067
